Network,Threads,Solver,|V|,|E|,|T|,Num Nodes,Max Len,runtime,root,Bound,,,,Max,Min
germany,None,Gurobi,50,88,6,unbounded,20,600.062784,Koblenz,150,,,,,
germany,None,Gurobi,50,88,6,unbounded,20,1200.033774,Trier,228,,,,,
germany,None,Gurobi,50,88,6,unbounded,20,1200.031713,Kassel,97,,,,,
germany,None,Gurobi,50,88,6,unbounded,20,1200.150913,Karls...,232,,,,,
germany,None,Gurobi,50,88,6,unbounded,20,600.039875,Muenchen,321,,,,,
germany,None,Gurobi,50,88,6,unbounded,20,1200.111521,Kiel,310,,,,,
germany,None,Gurobi,50,88,6,unbounded,20,600.0338969,Passau,575,,,,,
germany,None,Gurobi,50,88,6,unbounded,20,600.0621531,Braun...,119,,,,,
germany,None,Gurobi,50,88,6,unbounded,20,1200.061049,Olden...,551,,,,,
germany,None,Gurobi,50,88,6,unbounded,20,1200.093081,Erfurt,105,,,,,
germany,None,Gurobi,50,88,6,unbounded,20,1200.03432,Norden,562,,,,,
germany,None,Gurobi,50,88,6,unbounded,20,1200.030522,Aachen,354,,,,,
germany,None,Gurobi,50,88,6,unbounded,20,600.0380521,Greif...,250,,,,,
germany,None,Gurobi,50,88,6,unbounded,20,600.0262132,Frank...,132,,,,,
germany,None,Gurobi,50,88,6,unbounded,20,1200.037204,Kempten,574,,,,,
germany,None,Gurobi,50,88,6,unbounded,20,1200.011561,Osnab...,302,,,,,
germany,None,Gurobi,50,88,6,unbounded,20,1200.284765,Regen...,321,,,,,
germany,None,Gurobi,50,88,6,unbounded,20,1200.038276,Breme...,562,,,,,
india,None,Gurobi,35,80,6,unbounded,20,600.0129809,19,67,,,,,
india,None,Gurobi,35,80,6,unbounded,20,600.2496819,4,59,,,,,
india,None,Gurobi,35,80,6,unbounded,20,600.0270851,13,146,,,,,
india,None,Gurobi,35,80,6,unbounded,20,600.096863,30,62,,,,,
india,None,Gurobi,35,80,6,unbounded,20,600.025142,24,61,,,,,
india,None,Gurobi,35,80,6,unbounded,20,600.013299,17,56,,,,,
india,None,Gurobi,35,80,6,unbounded,20,600.038836,14,51,,,,,
